itemid	category	subcategory	title	description	attrs	price	is_proved	is_blocked	phones_cnt	emails_cnt	urls_cnt	close_hours
10001128	Хобби и отдых	Велосипеды	Велосипед Stels адреналин. Двухподвес	Велосипед в хорошем состоянии. ^p Стоят неродные фирменные втулки Shimano. ^p Установлены диски и фирменные машинки от Shimano. ^p Задняя трещотка заменена на касету 7 звезд (спереди 3). ^p Монетки переключения передач фирменные от Shimano. ^p На велосипеде зимняя четырехрядная шипованная резина (без нее отдам за 16000, но летней у меня нет, поэтому вам нужна будет своя резина)	"{""Вид велосипеда"":""Горные""}"	18000		0	0	0	0	8.62
10001156	Недвижимость	Квартиры	3-к квартира, 80 м², 12/17 эт.	Трехкомнатная квартира г. Щелково, мкр. Финский, д. 9 корпус 1, расположенная на 12-ом этаже 17-ти этажного монолитно-кирпичного  дома. Общая площадь 80 метров, жилая 40 метров, комнаты 19 метров, 11 метров, 10 метров изолированные, кухня 12,5 метров. Шикарная, просторная трехкомнатная квартира с качественным ремонтом, полы-ламинат, раздельный санузел в плитке, 2-е застекленные лоджии, окна ПВХ. ВО дворе большая детская площадка, детский сад, магазины , аптека, поликлиника детская и взрослая. До автобусной остановки 5 минут пешком, до ж/д станции 15 минут на маршрутке. ^p № в базе: 2195	"{""Тип объявления"":""Продам"", ""Количество комнат"":""3"", ""Вид объекта"":""Вторичка"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""12"", ""Этажей в доме"":""17-25"", ""Этажей в доме"":""17"", ""Тип дома"":""Кирпичный"", ""Адрес"":""Щелково, Финский""}"	5430000		0	0	0	0	13.81
10001216	Личные вещи	Одежда, обувь, аксессуары	Спорт. котюм	Новый из европ.,срочно отдам гараз., дешевле.	"{""Вид одежды"":""Мужская одежда"", ""Предмет одежды"":""Верхняя одежда"", ""Размер"":""48–50 (L)""}"	1700		0	0	0	0	10.51
10001236	Бытовая электроника	Телефоны	Nokia lumia 710	телефон в отличном состоянии обмен на самсунг с 4, айфон 4 с	"{""Вид телефона"":""Nokia""}"	5000		0	0	0	0	0.23
10001278	Работа	Вакансии	Мастера маникюра - педикюра	Приглашаем мастера маникюра - педикюра в салон красоты  ^p Работа по адресу: ул. Софьи Перовской, д. 18. ^p Мы предлагаем: ^p - Оформление по ТК РФ ^p - Соц. пакет ^p - Пятидневную рабочую неделю ^p - Условия для профессионального роста  ^p - Комфортабельное рабочее место ^p - вы приветливы, доброжелательны ^p - вам нужен достойный заработок  ^p - вы хотите, что бы работа приносила удовольствие? ^p У нас есть к вам интересное предложение	"{""Сфера деятельности"":""Фитнес, салоны красоты"", ""График работы"":""Полный день""}"	0		0	0	0	0	0.34
10001293	Недвижимость	Комнаты	Комната 18 м² в 2-к	Сдам комнату на длительный срок. Хороший ремонт, пластиковое окно, хорошая мебель, стиральная машина, холодильник, телевизор, интернет.Есть все необходимое для жизни. Хорошее состояние мест общего пользования.  Без хозяев.	"{""Тип объявления"":""Сдам"", ""Срок аренды"":""На длительный срок"", ""Комнат в квартире"":""2"", ""Адрес"":""м. Комендантский пр, ул. Уточкина д 1 к1""}"	10000		0	0	0	0	0.53
10001358	Работа	Вакансии	Социологические опросы	Требуются активные и позитивные люди, для проведения соц. опроса граждан! ^p Опыт не требуется, обучим. ^p Заработок 1000-3000 руб в день! ^p Срочно!!!	"{""Сфера деятельности"":""Без опыта, студенты"", ""График работы"":""Полный день""}"	0		0	0	0	0	23.46
10001373	Транспорт	Автомобили с пробегом	Другая марка, 2008	Maxus!!!!!!! Стеклоподъёмники, вибаста, электрозеркала, 15 мягких сидений. Люк,Грибок.Новая резина, Авто в хорошем состоянии, Остальные вопросы по телефону.	"{""Марка"":""Другая"", ""Год выпуска"":""2008"", ""Пробег"":""200 000 - 249 999"", ""Тип кузова"":""Минивэн"", ""Цвет"":""Белый "", ""Объём двигателя"":""2.5"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Дизельный"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	430000		0	0	0	0	1.71
10001444	Транспорт	Автомобили с пробегом	Daewoo Nexia, 2000	Продаю отличный автомобиль для своих лет!Автомобиль на хорошем ходу не требует вложений!Торг при осмотре цена 57000!телефон 8@@PHONE@@ или 8@@PHONE@@ Дима	"{""Марка"":""Daewoo"", ""Модель"":""Nexia"", ""Год выпуска"":""2000"", ""Пробег"":""110 000 - 119 999"", ""Тип кузова"":""Седан"", ""Цвет"":""Серый"", ""Объём двигателя"":""1.6"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	57000		0	2	0	0	8.80
10001506	Недвижимость	Квартиры	Студия, 24 м², 3/5 эт.	Пластиковые окна, балкон, ванна. Срочно!!!	"{""Тип объявления"":""Продам"", ""Количество комнат"":""Студия"", ""Вид объекта"":""Вторичка"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""3"", ""Этажей в доме"":""5-8"", ""Этажей в доме"":""5"", ""Адрес"":""13 Микрорайон 9""}"	750000		0	0	0	0	0.04
10001528	Недвижимость	Квартиры	Сниму 1-к квартиру	Молодая пара. Снимем 1-комнатную квартиру, (на время учебы, 2 года). Желательно с мебелью. Готовы платить 6000 руб. в месяц, без коммунальных услуг.	"{""Тип объявления"":""Сниму"", ""Количество комнат"":""1"", ""Срок аренды"":""На длительный срок""}"	6000		0	0	0	0	5.95
10001550	Транспорт	Запчасти и аксессуары	2 Din ford focus/mondeo GPS. gprs	"Максим с 8-00 до 0-00 т.8@@PHONE@@   штатная магнитола 2 Din ford focus/mondeo камера и модем в комплекте, покупал весной в рабочую машину. Машину сдал теперь продаю за ненадобностью. ^p Технические характеристики: ^p Процессор: Dual Core Cortex A8 1Ghz Samsung S5PV210 ^p RAM DDR2 512 MB, HDD 4Gb ^p OS WIN CE 6.0 ^p Особенности: ^p Экран с диагональю - 7”. ^p Поддержка CANBUS (кан-шина) - есть. ^p Встроенный аналоговый ТВ-тюнер - есть. ^p Поддержка 3G - интернет (при покупке USB - модема) - есть. ^p Встроенный виртуальный CD чейнджер - есть. ^p Картинка в картинке PIP - есть. ^p Функция видеорегистратора - есть. ^p Файловый менеджер - есть. ^p Поддержка Full HD 1080P видео - есть. ^p Описание товара: ^p 7"" 16:9 TFT монитор высокого разрешения 800x480 pix. ^p Сенсорный экран с графическим интерфейсом. ^p Авто димер. ^p Поддерживает DVD / DivX / MP4 / VCD / CD / MP3. ^p Встроенные USB / SD&MMC слоты / поддержка I-POD. ^p Встроенный аналоговый ТВ-тюнер. ^p Супер чувствительное FM/AM/ RDS радио (30 пред установок). ^p Подключение камеры парковки. ^p Усилитель 4X50W. ^p Поддержка режима ""Картинка в картинке PIP"" (вы можете смотреть DVD и слушать радио одновременно, или включить фильм и в др. картинке запустить режим GPS навигатора). ^p Отображение часов. ^p 1 AV выход (3 Зоны), 1 AV вход. ^p Поддержка управления на руле. ^p Встроенная Bluetooth громкая связь, микрофон на передней панели. ^p Вход для камеры заднего вида. ^p Встроенная навигация на русском языке. ^p Графический эквалайзер. ^p Встроенный виртуальный CD чейнджер. Магнитола может сохранять в память до 20 дисков с музыкой. ^p Возможность прослушивания музыки во время навигации. ^p Индивидуальная установка логотипа. ^p CAN -  шина. ^p Комплектация: ^p Головное устройство ^p Провода для подключения ^p Кабель USB ^p Кабель iPOD ^p Антенна GPS ^p Инструкция"	"{""Вид товара"":""Аудио- и видеотехника""}"	14000		0	1	0	0	0.02
10001614	Хобби и отдых	Спорт и отдых	Ботинки для горных лыж	Ботинки для горных лыж, ROSSIGNOL 308 mm р-р 26,5. Б/у, в отличном состоянии.Цена 2750 руб.	"{""Вид товара"":""Зимние виды спорта""}"	2750		0	0	0	0	0.06
10001623	Транспорт	Запчасти и аксессуары	Продаю колеса (диски + шина)	Matador made in Russia ^p на хундай акцент	"{""Диаметр, дюймов"":""14"", ""Ширина профиля, мм"":""185"", ""Высота профиля"":""65"", ""Сезонность"":""Зимние шипованные"", ""RunFlat"":""Нет"", ""Вид товара"":""Шины, диски и колёса"", ""Тип товара"":""Шины""}"	9000		0	0	0	0	20.55
10001671	Недвижимость	Квартиры	1-к квартира, 53 м², 5/5 эт.	Продается 1-к квартира в новостройке, р-н Пчелобазы, 5/5, общая площадь 52,6 кв.м, кухня 15 кв.м, выход на балкон из кухни, автономное отопление. Цена 1370 тыс. руб. т: 8-@@PHONE@@	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Новостройка"", ""Этаж"":""Не первый"", ""Этаж"":""5"", ""Этажей в доме"":""5-8"", ""Этажей в доме"":""5"", ""Тип дома"":""Кирпичный"", ""Площадь"":""53"", ""Адрес"":""р-н Пчелобазы, ул. Володарского/Халтурина""}"	1370000		0	1	0	0	1.62
10001736	Транспорт	Запчасти и аксессуары	Автопокрышки Брuджcтоне 215 55 16	Летние шины завезены из  Финляндии - по России не ездили.	"{""Ширина профиля, мм"":""215"", ""Высота профиля"":""55"", ""Диаметр"":""16"", ""Сезонность"":""Летние"", ""Вид товара"":""Шины, диски и колёса"", ""Тип товара"":""Шины""}"	3100		0	0	0	0	6.09
10001742	Для бизнеса	Оборудование для бизнеса	Шкаф-витрина	Шкаф-витрина серого цвета, с подсветкой. б/у,  состояние отличное, высота - 2,10 м, ширина- 0,7 м,  1 шт	"{""Вид оборудования"":""Для магазина""}"	3500		0	0	0	0	16.93
10001781	Для дома и дачи	Ремонт и строительство	Котел аогвк - 232-1	"Продаю б/у аппарат отопительный газовый бытовой с водяным контуром комбинированный ^p АОГВК - 23,2-1, модель 2216-07 ^p ЗАО ""Ростовгазоаппарат"" ^p Котел в рабочем состоянии с водогрейкой. ^p обогрев помещений до 200 кв.м. ^p Тел: 8@@PHONE@@, Лукьян"	"{""Вид товара"":""Камины и обогреватели""}"	10000		0	1	0	0	0.13
10001798	Для дома и дачи	Мебель и интерьер	Комод млечный дуб	размеры по телефону ^p возможно изготовление других цветов : ясень шимо, венге, орех миланский,млечный дуб.	"{""Вид товара"":""Шкафы и комоды""}"	5000		0	0	0	0	0.66
10001842	Транспорт	Запчасти и аксессуары	Датчик массового расхода воздуха (дмрв) Volvo S40	Продам оригинальный ДМРВ Volvo, стоял на модели S40 II 2006 г.в.. 100% рабочий. Продаю, т.к. купил новый после диагностики, но причина неисправности оказалась не в нём. Код детали 8658471. Могу выслать в любой регион.	"{""Вид товара"":""Запчасти"", ""Тип товара"":""Для автомобилей""}"	3000		0	0	0	0	18.78
10001859	Недвижимость	Квартиры	1-к квартира, 30 м²	"(новостройка) в Ленинском районе(АРЗ) на 3-м этаже в 4-этажном кирпичном доме по адресу пос. Киргизка 109, общей площадью 30 м2 (жилая 26 м2). В отличном состоянии. Есть пластиковые окна. Санузел совмещенный. ^p Новый кирпичный дом. Сдача дома ноябрь 2011г. Рядом школа №11, детский сад, магазин ""АНТОНОВ ДВОР"", ""МАРИЯ-РА"", детская поликлиника №3, СОСНОВЫЙ БОР! Тихий, спокойный район! Гостинки коридорного типа(в коридоре кафель, на стенах декоративная штукатурка, датчики света). На этаже 13 квартир. Отделка ""под ключ"" (Санузел совмещен,4кв.м. 170х230, кафель, 2 смесителя, большая ванна), пластиковые окна, домофон, телевизионная антенна, интернет.Дом обслуживает компания ""ЖИЛСЕРВИС"". Большая парковка для машин. Участок дома огорожен забором. А так же есть ещё квартира на 4 этаже. СОБСТВЕННИК!!!"	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Новостройка"", ""Этажей в доме"":""4"", ""Тип дома"":""Кирпичный"", ""Адрес"":""Киргизка 110""}"	1550000		0	0	0	0	0.14
10001860	Недвижимость	Квартиры	1-к квартира, 32 м², 9/9 эт.	ГОСТ. Новая сан.техника, п/о, отличное состояние.	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Вторичка"", ""Этаж"":""Не первый"", ""Этаж"":""9"", ""Этажей в доме"":""9-12"", ""Этажей в доме"":""9"", ""Тип дома"":""Панельный"", ""Адрес"":""Стрелка.ул.Волгоградская""}"	1350000		0	0	0	0	17.17
10001866	Недвижимость	Квартиры	1-к квартира, 32 м²	СДАЮ 1 К КВАРТИРУ ПОДБЕЛЬСКОГО ДОМ 7 ЕСТЬ ПЕЧЬ ХОЛОДИЛЬНИК СТОЛ СОФА	"{""Тип объявления"":""Сдам"", ""Количество комнат"":""1"", ""Срок аренды"":""На длительный срок"", ""Этажей в доме"":""5"", ""Тип дома"":""Панельный"", ""Адрес"":""◄►УЛИЦА ПОДБЕЛЬСКОГО ДОМ 7◄►""}"	7000		0	0	0	0	11.28
10001894	Транспорт	Автомобили с пробегом	ВАЗ 2115 Samara, 2007	"ПРОДАМ!!!ВАЗ 2115 Samara, 2007 г. ^p Пробег 100 000 - 109 999 км, 1.6 МТ, бензин, передний привод, седан, левый , цвет серый ^p -ПТС Оригинал,я 3 хозяин,2 ЭСП, Музыка Pioner, Сигнализация с А/З, Ксенон, Литые диски, цвет ""кварц"", ходовая отличная, все расходники поменяны. торг при осмотре"	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""2115 Samara"", ""Год выпуска"":""2007"", ""Пробег"":""100 000 - 109 999"", ""Тип кузова"":""Седан"", ""Цвет"":""Серый"", ""Объем двигателя"":""1.6"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	130000		0	0	0	0	20.47
10001903	Бытовая электроника	Телефоны	iPhone 4 8GB Black	Оригинал,отличное состояние не поцарапан не закоцан,c дисплея снята пленка только вчера,работает с любыми симками,обновлен до IOS 7.0.4 работает быстро  и плавно без лагов,в комплекте-зарядное устройство,кабель USB,гарнитура(все оригинальное)	"{""Вид телефона"":""iPhone""}"	7600		0	0	0	0	23.26
10001918	Транспорт	Автомобили с пробегом	ВАЗ 2111, 2004	а/м в отличном состоянии,музыка,стеклоподъемники.	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""2111"", ""Год выпуска"":""2004"", ""Пробег"":""75 000 - 79 999"", ""Тип кузова"":""Универсал"", ""Цвет"":""Серебряный "", ""Объем двигателя"":""1.5"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	148000		0	0	0	0	22.65
10001946	Транспорт	Автомобили с пробегом	ВАЗ 2108, 1997	продам ваз 2108,капитальный ремонт движки месяц назад,не дымит,масло не кушает,коробка в норме,скоростя не вылетают,имеются косяки по кузову на фото видно,новые штамповки и зимняя резина,имеются динамики на задней полке,ставь магнитолу и будут играть,печка жарит не подетски,резаны пружины зад-3,перед 2 это не главное,звоните цена окончательная скину максимум 1тыс...Возможен обмен на классику	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""2108"", ""Год выпуска"":""1997"", ""Пробег"":""15 000 - 19 999"", ""Тип кузова"":""Хетчбэк"", ""Цвет"":""Белый "", ""Объём двигателя"":""1.5"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	41000		0	0	0	0	22.73
10001985	Недвижимость	Квартиры	1-к квартира, 56 м², 2/16 эт.	Сдaется 1 комнатная квартира в новом доме по адресу: ул. Молодежная д. 8б (Промышленный район, ориентир - Молодежная/ Кирова). ^p Кирпичный дом, квартира улучшенной планировки, этаж 2/16. ^p Общая площадь 56, комната 18 кв.м., кухня 14,6 кв.м. Санузел совмещенный. ^p Свежий ремонт, никто не жил, установлены пластиковые окна, новая сантехника, натяжные потолки, из мебели только кухонный гарнитур.  ^p Дополнительно оплачивать коммунальные платежи. ^p Пожелания: без детей, без животных, только русские, на длительный срок.  Звоните!	"{""Тип объявления"":""Сдам"", ""Количество комнат"":""1"", ""Срок аренды"":""На длительный срок"", ""Этаж"":""2"", ""Этаж"":""Не первый и не последний"", ""Этажей в доме"":""16"", ""Этажей в доме"":""13-16"", ""Адрес"":""Молодежная, 8б""}"	17000		0	0	0	0	23.99
10002021	Личные вещи	Одежда, обувь, аксессуары	Женская одежда с доставкой	Хотите выглядеть ярко и незабываемо?  ^p Вам нужна качественная и красивая одежда?  ^p Хотите ловить восторженные взгляды мужчин?  ^p Мы поможем Вам! Качественно и недорого!  ^p ____________________________________________  ^p Огромный выбор одежды и обуви не оставит равнодушным ни одну красавицу!	"{""Вид одежды"":""Женская одежда"", ""Предмет одежды"":""Другое""}"	1200		0	0	0	0	0.08
10002046	Транспорт	Автомобили с пробегом	Isuzu Trooper, 1994	Opel Monterey, 1994 г. ^p Пробег 200 000 - 249 999 км, 3.1 МТ, дизель, полный привод, внедорожник, левый руль, цвет красный ^p Автомобиль в хорошем состоянии, на полном ходу. Масло не ест.Антикор .Из нового стоит грм с роликами ,помпа,шаровые,лобовое стекло.В придачу отдам комплект зимней резины на дисках ,турбину,и по мелочи .задняя арка с ЛЕВОЙ стороны дырочка сантима четыре в длину .Мосты -раздатка-коробка без нареканий. Хабы автоматы работуют отлично. Раму подваривал в кретичных местах - номер рамы чётккий . Антикор каждый год. Люка нет. Мотор масло не ест не убитый . Довление 2 атм. на горячию причём залита сентетика . Масло меняю каждые 5000 пробега место положеных 7500. Новые акб.шаровые. Вобщем сел и кактайся.  Огромная проcьба салонам , перекупщикам и разводилам не звонить .Пока на сайте авто не продано.Осмотор г.Зеленоград. ТОРГ ПРИ ОСМОТРЕ	"{""Марка"":""Isuzu"", ""Модель"":""Trooper"", ""Год выпуска"":""1994"", ""Пробег"":""200 000 - 249 999"", ""Тип кузова"":""Внедорожник"", ""Цвет"":""Красный"", ""Объем двигателя"":""3.1"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Дизельный"", ""Привод"":""Полный"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	261000		0	0	0	0	6.71
10002053	Услуги	Предложения услуг	Расточу тормозные барабаны, проточу колодки	"Расточка любых типов тормозных барабанов; проточка колодок на ""МАЗ"" и ""КАМАЗ""  ^p НЕДОРОГО! ^p 8 @@PHONE@@"	"{""Вид услуги"":""Оборудование, производство"", ""Тип услуги"":""Производство, обработка""}"	0		0	1	0	0	20.82
10002055	Транспорт	Автомобили с пробегом	Ford Focus, 2008	Форд Фокус декабрь 2008 г.в., куплен в марте 2009 г., БЕЗ АВАРИЙ 100%, 1 ХОЗЯИН, ПТС ОРИГИНАЛ, двигатель 1.8 л.(цепь) - 125 л.с., в отличном состоянии, чистый ухоженный салон, комплектация: кондиционер, подушки безопасности водителя и пассажира, бортовой компьютер, электростеклоподъёмники, музыка мр-3, сигнализация с автозапуском, ГУР, ABS, защита картера, колеса ЗИМНИЕ и ЛЕТНИЕ на штампованных дисках. Торг возможен.	"{""Марка"":""Ford"", ""Модель"":""Focus"", ""Год выпуска"":""2008"", ""Пробег"":""50 000 - 54 999"", ""Тип кузова"":""Хетчбэк"", ""Цвет"":""Серебряный "", ""Объем двигателя"":""1.8"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	390000		0	0	0	0	11.12
10002072	Транспорт	Мотоциклы и мототехника	Продаю Suzuki sv 400	Продаю Suzuki sv 400, 97 г.в. Состояние хорошее, есть недочеты, видно на фото. Хороший торг.  ^p Перекупщикам не беспокоить.	"{""Вид техники"":""Мотоциклы"", ""Вид мотоцикла"":""Спортивные""}"	140000		0	0	0	0	1.74
10002073	Транспорт	Запчасти и аксессуары	Колеса на т-25	отличная резина для т-25 требует небольшой доработки(необходимо вварить внутреннюю часть)	"{""Вид товара"":""Шины, диски и колёса"", ""Тип товара"":""Колёса""}"	10000		0	0	0	0	1.64
10002120	Работа	Вакансии	Уборщица, посудомойка, официант, бармен		"{""Сфера деятельности"":""Туризм, рестораны"", ""График работы"":""Сменный график""}"	0		0	0	0	0	14.95
10002188	Транспорт	Автомобили с пробегом	KIA Sportage, 2009	Состояние нового автомобиля, не курящий салон, 6 подушек безопасности,ABC,ГРМ, 4 стеклоподъемника, CD.MP3.USB, полный обвес, зимняя резина + диски, ветровики, центральная сигнализация, климат-контроль, расход топлива 8л. Возможен обмен с нашей доплатой на полноприводный автомобиль не старше 2009 г, рассмотрим любые варианты.	"{""Марка"":""KIA"", ""Модель"":""Sportage"", ""Год выпуска"":""2009"", ""Пробег"":""55 000 - 59 999"", ""Тип кузова"":""Внедорожник"", ""Цвет"":""Белый "", ""Объём двигателя"":""2.0"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	625000		0	0	0	0	3.37
10002196	Недвижимость	Квартиры	1-к квартира, 41 м²	"ЖК ""Дагомыс"" - многоквартирный жилой комплекс бизнес-класса, состоящий из трех 7-этажных корпусов и расположенный в центре поселка Дагомыс, в 1 км от моря. Каркас выполнен из сборно-монолитного железобетона. Наружные стены - керамзитобетонные блоки, пенополистирольные плиты, отделка декоративной штукатуркой ""Caparol"". Окна - стеклопакеты, рамы - металлопластик. Коммуникации - центральные. Комплекс газифицирован. Отопление - автономное. Каждый корпус оборудован пассажирским лифтом. Инфраструктура микрорайона: ряд магазинов, гастрономов, кафе, ресторанов, детский сад, новая школа, больница. ^p № в базе: 5042"	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Новостройка"", ""Этажей в доме"":""7"", ""Адрес"":""Сочи, ул. Гайдара""}"	1854000		0	0	0	0	0.19
10002207	Услуги	Предложения услуг	Контролные, рефераты, дипломы, курсовые и т. д	Контрольные , рефераты , курсовые дипломы!!!! Написание ваших работ в краткие сроки по самым приемлимым ценам по соотношению цена-качество. Доводим до защиты диплома + поможем с вашим докладом и презентацией .Звоните мне в любое для вас удобное время на номер 8@@PHONE@@ или же пишите мне на email:@@EMAIL@@, а так же вконтакте ramil248.	"{""Вид услуги"":""Образование, курсы""}"	0	0	1	1	1	0	0.16
10002266	Хобби и отдых	Спорт и отдых	Лыжи деревянные 200 см	"Лыжи деревянные 200 см с креплениями 247-255, Динамо ""Tallin"" черные, б/у очень мало, в хорошем состоянии"	"{""Вид товара"":""Зимние виды спорта""}"	300		0	0	0	0	11.86
10002344	Услуги	Предложения услуг	Грузоперевозки	фургон 5 тонн, 32 куб., 17 руб. км., 450 руб. часовая, перевоз груза в любую точку.	"{""Вид услуги"":""Транспорт, перевозки"", ""Тип услуги"":""Грузоперевозки""}"	0		0	0	0	0	0.15
10002350	Недвижимость	Квартиры	1-к квартира, 30 м², 3/5 эт.	1975 о/п,ВТК,Сделан капитал.ремонт, красивая хорошая квартира, малосем., возможен торг.	"{""Тип объявления"":""Продам"", ""Количество комнат"":""1"", ""Вид объекта"":""Вторичка"", ""Этаж"":""Не первый и не последний"", ""Этаж"":""3"", ""Этажей в доме"":""5-8"", ""Этажей в доме"":""5"", ""Тип дома"":""Панельный"", ""Адрес"":""ул.Дружбы 5""}"	2800000		0	0	0	0	3.85
10002387	Личные вещи	Одежда, обувь, аксессуары	Платье крсивое с болеро	продаю платье с болеро в отличном состоянии	"{""Вид одежды"":""Женская одежда"", ""Предмет одежды"":""Платья и юбки"", ""Размер"":""42–44 (S)""}"	500		0	0	0	0	23.87
10002390	Хобби и отдых	Велосипеды	"Шикарный, надежный советский велосипед ""Аист"""	"Шикарный складной!! Надежный советский велосипед ""Аист"". Аллюминиевые нержавеющие колеса, прочный багажник. Отличный велосипед. Состояние отличное!! Никаких проблем нет. Сел - поехал. Надежный неубиваемый велосипед, прослужит верой и правдой ещё лет 20. Родная краска. ^p - Колеса 20"" ^p Могу подвести к метро: ^p -м. ленинский пр. ^p -м. пр. ветеранов ^p -электросила ^p -московская ^p -купчино ^p -Парк победы ^p -звездная"	"{""Вид велосипеда"":""Дорожные""}"	2000		0	0	0	0	1.99
10002406	Транспорт	Автомобили с пробегом	LADA Priora, 2007	Машина в отличном состоянии, куплена в 2008 году, Эл. усилитель руля, передние стеклоподьемники, МР3, зимняя резина, пробег 103.	"{""Марка"":""ВАЗ (LADA)"", ""Модель"":""Priora"", ""Год выпуска"":""2007"", ""Пробег"":""100 000 - 109 999"", ""Тип кузова"":""Седан"", ""Цвет"":""Серебряный "", ""Объем двигателя"":""1.6"", ""Коробка передач"":""Механическая"", ""Тип двигателя"":""Бензиновый"", ""Привод"":""Передний"", ""Руль"":""Левый"", ""Состояние"":""Не битый""}"	220000		0	0	0	0	1.07
10002524	Хобби и отдых	Спорт и отдых	Кимоно	Кимоно детское, размер не написан, материал жесткий, регулируется. В комплект входит верх, штаны, белый пояс. Без торга	"{""Вид товара"":""Единоборства""}"	1000		0	0	0	0	0.14
10002525	Транспорт	Запчасти и аксессуары	Газовое оборудование для авто	продам газовое оборудование для авто. Вместительность бака 30 литров.	"{""Вид товара"":""Запчасти"", ""Тип товара"":""Для автомобилей""}"	6000		0	0	0	0	0.30
10002530	Работа	Резюме	Грузчик в порт	Ищу работу. Физ.крепкий,без вредных привычек,трудолюбивый и готовый к тяжелой физической работе. График работы-любой. З/п от 50000.	"{""Сфера деятельности"":""Без опыта, студенты"", ""График работы"":""Полный день""}"	50000		0	0	0	0	0.10
10002558	Для дома и дачи	Мебель и интерьер	Кровать-чердак Индиго	Продается б/у кровать-чердак Индиго с лестницей, которая имеет очень вместительные удобные ящики, может стоять с любой стороны, и встроенным угловым шкафом. ^p Тумбочка с 3 ящиками в подарок. ^p @@URL@@	"{""Вид товара"":""Кровати, диваны и кресла""}"	8000		0	0	0	1	14.40
10002567	Личные вещи	Детская одежда и обувь	Кофта angry birds	Продаем кофточку Angry Birds,покупали в Финляндии,в идеальном состоянии,носили одно лето. Длина от плеча до низа 43 см. Размер указан 128,но маломерит. Смотреть в Купчино или на новочеркасской.	"{""Вид одежды"":""Для мальчиков"", ""Предмет одежды"":""Трикотаж"", ""Размер"":""110-116 см (4-6 лет)""}"	300		0	0	0	0	0.11
